volume,position,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6,12,Early Morning - Original Mix,Mat.Joe,0.731,0.61,10,-8.547,0,0.0525,0.143,0.67,0.855,0.323,124.016,audio_features,7tSUVjudczSzmwmdRuGlqX,spotify:track:7tSUVjudczSzmwmdRuGlqX,https://api.spotify.com/v1/tracks/7tSUVjudczSzmwmdRuGlqX,https://api.spotify.com/v1/audio-analysis/7tSUVjudczSzmwmdRuGlqX,382034,4
6,13,Leave The Light On - Kidnap Kid Remix,Sailor & I,0.664,0.854,9,-7.604,0,0.0418,0.00954,0.811,0.0684,0.353,122.005,audio_features,61fibGvmlpruc6Nzy6W47p,spotify:track:61fibGvmlpruc6Nzy6W47p,https://api.spotify.com/v1/tracks/61fibGvmlpruc6Nzy6W47p,https://api.spotify.com/v1/audio-analysis/61fibGvmlpruc6Nzy6W47p,417123,4
5,1,She is Poetry,Benjamin Gustafsson,0.213,0.0935,6,-18.554,1,0.0318,0.965,0.882,0.106,0.104,83.152,audio_features,6vkYkQAiiqhLImSVQCwUMA,spotify:track:6vkYkQAiiqhLImSVQCwUMA,https://api.spotify.com/v1/tracks/6vkYkQAiiqhLImSVQCwUMA,https://api.spotify.com/v1/audio-analysis/6vkYkQAiiqhLImSVQCwUMA,304625,4
5,2,Beacon,James Everingham,0.226,0.394,2,-10.6,1,0.0358,0.943,0.928,0.102,0.1,60.817,audio_features,7GHGTDpTwUqL6h8prbOalB,spotify:track:7GHGTDpTwUqL6h8prbOalB,https://api.spotify.com/v1/tracks/7GHGTDpTwUqL6h8prbOalB,https://api.spotify.com/v1/audio-analysis/7GHGTDpTwUqL6h8prbOalB,169286,4
5,3,Thank You For Everything Part II,Kyson,0.308,0.326,4,-15.819,1,0.0537,0.989,0.982,0.11,0.039,139.925,audio_features,4Czt4MyokXzUMCwquA0XoD,spotify:track:4Czt4MyokXzUMCwquA0XoD,https://api.spotify.com/v1/tracks/4Czt4MyokXzUMCwquA0XoD,https://api.spotify.com/v1/audio-analysis/4Czt4MyokXzUMCwquA0XoD,157516,3
5,4,Breathe In,Japanese Wallpaper,0.264,0.372,2,-10.089,1,0.0329,0.741,0.79,0.0983,0.071,118.783,audio_features,3MtxdgBqp0qLWiN8yAbqSL,spotify:track:3MtxdgBqp0qLWiN8yAbqSL,https://api.spotify.com/v1/tracks/3MtxdgBqp0qLWiN8yAbqSL,https://api.spotify.com/v1/audio-analysis/3MtxdgBqp0qLWiN8yAbqSL,199733,4
5,5,Lifespan,Vaults,0.501,0.664,1,-6.821,0,0.0359,0.112,0.0959,0.0585,0.0833,75.046,audio_features,6GLUEWMUDOH6YtYPCnZFFY,spotify:track:6GLUEWMUDOH6YtYPCnZFFY,https://api.spotify.com/v1/tracks/6GLUEWMUDOH6YtYPCnZFFY,https://api.spotify.com/v1/audio-analysis/6GLUEWMUDOH6YtYPCnZFFY,228144,4
5,6,Hunger Of The Pine - Jody Wisternoff & James Grant Remix,Vaults,0.491,0.312,7,-14.104,1,0.0264,0.0656,0.00303,0.14,0.0389,100.053,audio_features,6jrztnYIBYFo121nj0Oajx,spotify:track:6jrztnYIBYFo121nj0Oajx,https://api.spotify.com/v1/tracks/6jrztnYIBYFo121nj0Oajx,https://api.spotify.com/v1/audio-analysis/6jrztnYIBYFo121nj0Oajx,214933,4
5,7,Arterial,Lusine,0.841,0.588,11,-11.024,1,0.0744,0.252,0.767,0.11,0.308,90.022,audio_features,0wG37iSnNwVqYd390JQfVM,spotify:track:0wG37iSnNwVqYd390JQfVM,https://api.spotify.com/v1/tracks/0wG37iSnNwVqYd390JQfVM,https://api.spotify.com/v1/audio-analysis/0wG37iSnNwVqYd390JQfVM,254962,4
5,8,Arcadia,Apparat,0.681,0.765,4,-8.075,0,0.0337,0.0211,0.868,0.175,0.619,116.013,audio_features,49KVtxjMNy8li0sQt4exTD,spotify:track:49KVtxjMNy8li0sQt4exTD,https://api.spotify.com/v1/tracks/49KVtxjMNy8li0sQt4exTD,https://api.spotify.com/v1/audio-analysis/49KVtxjMNy8li0sQt4exTD,310053,4
5,9,The Look,Metronomy,0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,audio_features,3b4GWSS7QnzRKqH0mEYcFH,spotify:track:3b4GWSS7QnzRKqH0mEYcFH,https://api.spotify.com/v1/tracks/3b4GWSS7QnzRKqH0mEYcFH,https://api.spotify.com/v1/audio-analysis/3b4GWSS7QnzRKqH0mEYcFH,277653,4
5,10,Heart Drive,Superlover,0.809,0.655,5,-6.159,0,0.0745,6.82e-05,0.915,0.0709,0.6,124.006,audio_features,0BFwlkggPniTA7cpRnyW9E,spotify:track:0BFwlkggPniTA7cpRnyW9E,https://api.spotify.com/v1/tracks/0BFwlkggPniTA7cpRnyW9E,https://api.spotify.com/v1/audio-analysis/0BFwlkggPniTA7cpRnyW9E,418520,4
5,11,Underworld,Edu Imbernon,0.862,0.542,8,-10.615,1,0.0449,0.00412,0.473,0.107,0.323,122.991,audio_features,2T0QyKXxEGsEGkY31deDam,spotify:track:2T0QyKXxEGsEGkY31deDam,https://api.spotify.com/v1/tracks/2T0QyKXxEGsEGkY31deDam,https://api.spotify.com/v1/audio-analysis/2T0QyKXxEGsEGkY31deDam,320000,4
